name,wins,looses,draws,ko_rate,stance,age,height,reach,country,height_m,reach_cm
rafael ruelas,53,4,0,73.7,Orthodox,51,5.91 ft (1.80 m),70.87 inches (180 cm),United States,1.8,180.0
donovan ruddock,39,6,1,65.2,Orthodox,58,6.27 ft (1.91 m),81.89 inches (208 cm),Canada,1.91,208.0
derric rossy,30,13,0,32.6,Orthodox,42,6.27 ft (1.91 m),76.38 inches (194 cm),United States,1.91,194.0
barney ross,74,4,3,27.2,Orthodox,112,5.58 ft (1.70 m),66.93 inches (170 cm),United States,1.7,170.0
gabriel rosado,25,12,1,34.1,Orthodox,36,5.97 ft (1.82 m),71.65 inches (182 cm),United States,1.82,182.0
maxie rosenbloom,223,43,30,6.4,Orthodox,115,5.87 ft (1.79 m),71.65 inches (182 cm),United States,1.79,182.0
tomas rojas,51,19,1,47.2,Orthodox,42,5.68 ft (1.73 m),69.29 inches (176 cm),Mexico,1.73,176.0
luis manuel rodriguez,107,13,0,40.5,Orthodox,85,5.68 ft (1.73 m),74.02 inches (188 cm),Cuba,1.73,188.0
edwin rodriguez,31,2,0,60.6,Orthodox,37,6.00 ft (1.83 m),75.98 inches (193 cm),Dominican Republic,1.83,193.0
ray robinson,24,3,2,41.4,Southpaw,36,5.84 ft (1.78 m),77.95 inches (198 cm),United States,1.78,198.0
sugar ray robinson,175,19,6,54.5,Orthodox,101,5.91 ft (1.80 m),72.44 inches (184 cm),United States,1.8,184.0
jose luis rivera,18,6,0,53.8,Orthodox,55,6.00 ft (1.83 m),72.83 inches (185 cm),United States,1.83,185.0
ronny rios,31,3,0,44.1,Orthodox,32,5.61 ft (1.71 m),66.93 inches (170 cm),United States,1.71,170.0
guillermo rigondeaux,20,1,0,56.5,Southpaw,41,5.38 ft (1.64 m),66.14 inches (168 cm),Cuba,1.64,168.0
ron richards,95,25,10,43.5,Orthodox,112,5.87 ft (1.79 m),72.44 inches (184 cm),Australia,1.79,184.0
jose ribalta,38,17,1,48.2,Orthodox,59,6.40 ft (1.95 m),79.92 inches (203 cm),Cuba,1.95,203.0
robin reid,42,8,1,56.9,Orthodox,51,5.74 ft (1.75 m),75.98 inches (193 cm),United Kingdom,1.75,193.0
eric regan,27,4,0,58.1,Orthodox,46,6.33 ft (1.93 m),75.98 inches (193 cm),United States,1.93,193.0
frankie randall,58,18,1,54.5,Orthodox,60,5.68 ft (1.73 m),68.11 inches (173 cm),United States,1.73,173.0
sugar ramos,55,7,4,60.6,Orthodox,80,5.38 ft (1.64 m),68.11 inches (173 cm),Cuba,1.64,173.0
gilberto ramirez sanchez,40,0,0,63.4,Southpaw,31,6.20 ft (1.89 m),75.20 inches (191 cm),Mexico,1.89,191.0
jose carlos ramirez,26,0,0,65.4,Orthodox,30,5.84 ft (1.78 m),72.44 inches (184 cm),United States,1.78,184.0
wesley ramey,152,28,14,5.7,Orthodox,112,5.35 ft (1.63 m),66.93 inches (170 cm),United States,1.63,170.0
peter quillin,34,2,1,59.0,Orthodox,39,5.91 ft (1.80 m),72.83 inches (185 cm),United States,1.8,185.0
ike quartey,38,4,1,74.4,Orthodox,52,5.61 ft (1.71 m),70.87 inches (180 cm),Ghana,1.71,180.0
dwight muhammad qawi,41,11,1,47.2,Orthodox,69,5.45 ft (1.66 m),70.87 inches (180 cm),United States,1.66,180.0
ross puritty,31,20,3,50.0,Orthodox,55,6.27 ft (1.91 m),79.92 inches (203 cm),United States,1.91,203.0
aaron pryor,39,1,0,87.5,Orthodox,66,5.51 ft (1.68 m),68.90 inches (175 cm),United States,1.68,175.0
ruslan provodnikov,25,5,0,60.0,Orthodox,38,5.51 ft (1.68 m),66.14 inches (168 cm),Russian Federation,1.68,168.0
david price,23,7,0,63.3,Orthodox,39,6.66 ft (2.03 m),81.89 inches (208 cm),United Kingdom,2.03,208.0
alexander povetkin,36,2,1,62.5,Orthodox,42,6.17 ft (1.88 m),75.20 inches (191 cm),Russian Federation,1.88,191.0
shawn porter,30,3,1,48.6,Orthodox,34,5.58 ft (1.70 m),69.69 inches (177 cm),United States,1.7,177.0
michele piccirillo,50,5,0,51.8,Orthodox,52,5.87 ft (1.79 m),71.26 inches (181 cm),Italy,1.79,181.0
verno phillips,42,11,1,38.2,Orthodox,52,5.61 ft (1.71 m),68.90 inches (175 cm),United States,1.71,175.0
vince phillips,48,12,1,55.7,Orthodox,59,5.61 ft (1.71 m),70.08 inches (178 cm),United States,1.71,178.0
billy petrolle,123,26,15,40.0,Orthodox,117,5.58 ft (1.70 m),70.08 inches (178 cm),United States,1.7,178.0
lamont peterson,35,5,1,41.5,Orthodox,38,5.74 ft (1.75 m),72.05 inches (183 cm),United States,1.75,183.0
samuel peter,37,9,0,65.2,Orthodox,41,6.17 ft (1.88 m),77.17 inches (196 cm),Nigeria,1.88,196.0
eddie perkins,75,20,2,21.4,Orthodox,85,5.41 ft (1.65 m),68.11 inches (173 cm),United States,1.65,173.0
paul pender,40,6,2,41.7,Orthodox,92,5.84 ft (1.78 m),72.05 inches (183 cm),United States,1.78,183.0
willie pep,229,11,1,27.0,Orthodox,99,5.41 ft (1.65 m),68.11 inches (173 cm),United States,1.65,173.0
eusebio pedroza,41,6,1,51.0,Orthodox,66,5.68 ft (1.73 m),68.50 inches (174 cm),Panama,1.73,174.0
juan carlos payano,21,3,0,37.5,Southpaw,38,5.41 ft (1.65 m),64.57 inches (164 cm),Dominican Republic,1.65,164.0
kelly pavlik,40,2,0,81.0,Orthodox,40,6.20 ft (1.89 m),75.20 inches (191 cm),United States,1.89,191.0
floyd patterson,55,8,1,62.5,Orthodox,87,6.00 ft (1.83 m),70.87 inches (180 cm),United States,1.83,180.0
vic patrick,52,4,1,78.9,Southpaw,102,5.58 ft (1.70 m),68.11 inches (173 cm),Australia,1.7,173.0
willie pastrano,62,13,8,16.9,Orthodox,86,5.84 ft (1.78 m),72.05 inches (183 cm),United States,1.78,183.0
jean pascal,35,6,1,46.5,Orthodox,39,5.87 ft (1.79 m),72.05 inches (183 cm),Canada,1.79,183.0
vic pasillas,11,0,0,36.4,Southpaw,30,5.41 ft (1.65 m),64.96 inches (165 cm),United States,1.65,165.0
joseph parker,27,2,0,72.4,Orthodox,30,6.33 ft (1.93 m),75.98 inches (193 cm),New Zealand,1.93,193.0
ambrose palmer,57,7,2,34.8,Orthodox,110,5.87 ft (1.79 m),72.44 inches (184 cm),Australia,1.79,184.0
greg page,58,17,1,63.2,Orthodox,63,6.17 ft (1.88 m),81.10 inches (206 cm),United States,1.88,206.0
jorge paez,80,12,5,53.1,Orthodox,56,5.41 ft (1.65 m),68.11 inches (173 cm),Mexico,1.65,173.0
manny pacquiao,62,7,2,54.9,Southpaw,43,5.54 ft (1.69 m),66.93 inches (170 cm),Philippines,1.69,170.0
ken overlin,135,19,9,13.9,Orthodox,112,5.74 ft (1.75 m),70.08 inches (178 cm),United States,1.75,178.0
sven ottke,34,0,0,17.6,Orthodox,55,5.84 ft (1.78 m),68.90 inches (175 cm),Germany,1.78,175.0
Vergil Ortiz Jr,3,0,0,100.0,Orthodox,24,5.84 ft (1.78 m),70.08 inches (178 cm),United States,1.78,178.0
luis ortiz,31,2,0,72.2,Orthodox,43,6.33 ft (1.93 m),83.86 inches (213 cm),Cuba,1.93,213.0
manuel ortiz,100,28,3,41.2,Orthodox,106,5.35 ft (1.63 m),64.57 inches (164 cm),United States,1.63,164.0
pedro ortega,31,14,1,43.5,Orthodox,49,5.84 ft (1.78 m),74.02 inches (188 cm),Mexico,1.78,188.0
victor ortiz,30,6,3,59.0,Southpaw,35,5.74 ft (1.75 m),70.08 inches (178 cm),United States,1.75,178.0
antonio orozco,28,2,0,54.8,Orthodox,34,5.58 ft (1.70 m),70.08 inches (178 cm),Mexico,1.7,178.0
carlos ortiz,61,7,2,42.9,Orthodox,85,5.58 ft (1.70 m),70.08 inches (178 cm),Puerto Rico,1.7,178.0
thomas oosthuizen,28,3,2,48.5,Orthodox,34,6.33 ft (1.93 m),77.95 inches (198 cm),South Africa,1.93,198.0
bobo olson,97,16,2,40.0,Orthodox,94,5.87 ft (1.79 m),70.08 inches (178 cm),United States,1.79,178.0
ruben olivares,89,13,3,75.2,Orthodox,75,5.45 ft (1.66 m),66.93 inches (170 cm),Mexico,1.66,170.0
michael olajide,27,5,0,59.4,Orthodox,58,6.07 ft (1.85 m),77.17 inches (196 cm),Canada,1.85,196.0
michael nunn,58,4,0,59.7,Southpaw,59,6.07 ft (1.85 m),77.17 inches (196 cm),United States,1.85,196.0
terry norris,47,9,0,55.4,Orthodox,55,5.81 ft (1.77 m),68.50 inches (174 cm),United States,1.77,174.0
Hurshidbek Normatov,9,0,0,33.3,Southpaw,30,6.17 ft (1.88 m),75.20 inches (191 cm),Uzbekistan,1.88,191.0
brian nix,18,12,0,10.0,Orthodox,52,6.27 ft (1.91 m),77.17 inches (196 cm),United States,1.91,196.0
patrick nielsen,30,3,0,42.4,Southpaw,31,6.00 ft (1.83 m),72.83 inches (185 cm),Denmark,1.83,185.0
azumah nelson,39,6,2,59.6,Orthodox,64,5.41 ft (1.65 m),68.11 inches (173 cm),Ghana,1.65,173.0
johnny nelson,45,12,2,49.2,Southpaw,55,6.20 ft (1.89 m),81.10 inches (206 cm),United Kingdom,1.89,206.0
jose napoles,81,7,0,61.4,Orthodox,82,5.61 ft (1.71 m),72.05 inches (183 cm),Cuba,1.71,183.0
masayoshi nakatani,17,1,0,61.1,Orthodox,33,5.97 ft (1.82 m),70.87 inches (180 cm),Japan,1.82,180.0
elvir muriqi,40,7,0,51.1,Orthodox,43,5.87 ft (1.79 m),72.44 inches (184 cm),United States,1.79,184.0
anthony mundine,48,10,0,48.3,Orthodox,47,5.91 ft (1.80 m),70.08 inches (178 cm),Australia,1.8,178.0
eddie mustafa muhammad,51,8,1,66.7,Orthodox,70,6.00 ft (1.83 m),72.83 inches (185 cm),United States,1.83,185.0
matthew saad muhammad,49,16,3,51.5,Orthodox,68,5.91 ft (1.80 m),75.20 inches (191 cm),United States,1.8,191.0
denny moyer,97,38,4,17.9,Orthodox,83,5.71 ft (1.74 m),72.05 inches (183 cm),United States,1.74,183.0
shane mosley,49,10,1,67.2,Orthodox,50,5.71 ft (1.74 m),70.87 inches (180 cm),United States,1.74,180.0
erik morales,52,9,0,59.0,Orthodox,45,5.68 ft (1.73 m),72.05 inches (183 cm),Mexico,1.73,183.0
davey moore,59,7,1,44.1,Orthodox,88,5.22 ft (1.59 m),64.96 inches (165 cm),United States,1.59,165.0
carlos monzon,87,3,9,58.0,Orthodox,80,5.94 ft (1.81 m),75.98 inches (193 cm),Argentina,1.81,193.0
bob montgomery,75,19,3,38.1,Orthodox,103,5.61 ft (1.71 m),70.87 inches (180 cm),United States,1.71,180.0
pedro montanez,91,8,4,48.5,Orthodox,108,5.41 ft (1.65 m),68.11 inches (173 cm),Puerto Rico,1.65,173.0
willie monroe jr,24,3,0,22.2,Southpaw,35,5.84 ft (1.78 m),74.02 inches (188 cm),United States,1.78,188.0
eric molina,27,6,0,57.6,Orthodox,40,6.33 ft (1.93 m),77.95 inches (198 cm),United States,1.93,198.0
carlos molina,28,10,2,19.5,Orthodox,39,5.74 ft (1.75 m),70.08 inches (178 cm),Mexico,1.75,178.0
john molina,30,9,0,61.5,Orthodox,39,5.87 ft (1.79 m),70.87 inches (180 cm),United States,1.79,180.0
john john molina,52,7,0,55.9,Orthodox,57,5.58 ft (1.70 m),66.93 inches (170 cm),Puerto Rico,1.7,170.0
nadjib mohammedi,41,6,0,51.1,Orthodox,37,5.94 ft (1.81 m),70.47 inches (179 cm),France,1.81,179.0
billy miske,74,13,17,32.4,Orthodox,128,6.04 ft (1.84 m),75.98 inches (193 cm),United States,1.84,193.0
edison miranda,36,10,0,67.4,Orthodox,41,5.84 ft (1.78 m),77.56 inches (197 cm),Colombia,1.78,197.0
mauro mina,52,3,3,43.1,Orthodox,88,5.97 ft (1.82 m),74.02 inches (188 cm),Peru,1.82,188.0
freddie mills,76,18,6,54.0,Unknown,103,5.87 ft (1.79 m),72.05 inches (183 cm),United Kingdom,1.79,183.0
dariusz michalczewski,48,2,0,76.0,Orthodox,54,6.07 ft (1.85 m),70.08 inches (178 cm),Poland,1.85,178.0
aelio mesquita,19,5,0,70.8,Orthodox,31,5.68 ft (1.73 m),70.08 inches (178 cm),Brazil,1.73,178.0
argenis mendez,25,5,3,34.3,Orthodox,36,5.74 ft (1.75 m),70.87 inches (180 cm),Dominican Republic,1.75,180.0
kali meehan,42,6,0,66.7,Orthodox,52,6.43 ft (1.96 m),81.10 inches (206 cm),Australia,1.96,206.0
jimmy mclarnin,55,11,3,30.4,Orthodox,114,5.51 ft (1.68 m),66.93 inches (170 cm),Canada,1.68,170.0
thabiso mchunu,23,5,0,48.3,Southpaw,34,5.91 ft (1.80 m),72.44 inches (184 cm),South Africa,1.8,184.0
james mcgirt,73,6,1,60.0,Orthodox,58,5.54 ft (1.69 m),70.08 inches (178 cm),United States,1.69,178.0
packey mcfarland,106,1,6,44.2,Orthodox,133,5.58 ft (1.70 m),68.90 inches (175 cm),United States,1.7,175.0
al mccoy,116,31,20,27.5,Orthodox,109,5.91 ft (1.80 m),74.02 inches (188 cm),United States,1.8,188.0
jameel mccline,41,13,3,42.1,Orthodox,52,6.50 ft (1.98 m),81.89 inches (208 cm),United States,1.98,208.0
mike mccallum,49,5,1,65.5,Orthodox,65,5.97 ft (1.82 m),74.41 inches (189 cm),Jamaica,1.82,189.0
kevin mcbride,35,10,1,63.0,Orthodox,49,6.50 ft (1.98 m),79.92 inches (203 cm),Ireland,1.98,203.0
floyd mayweather jr,50,0,0,52.9,Orthodox,45,5.68 ft (1.73 m),72.05 inches (183 cm),United States,1.73,183.0
sandro mazzinghi,64,3,0,60.9,Orthodox,83,5.68 ft (1.73 m),72.44 inches (184 cm),Italy,1.73,184.0
bernard mays,26,1,1,53.6,Orthodox,62,5.84 ft (1.78 m),70.08 inches (178 cm),United States,1.78,178.0
joey maxim,82,29,4,18.3,Orthodox,100,6.07 ft (1.85 m),71.65 inches (182 cm),United States,1.85,182.0
tami mauriello,82,13,1,62.5,Orthodox,98,5.97 ft (1.82 m),72.83 inches (185 cm),United States,1.82,185.0
rocky mattioli,64,7,2,69.9,Orthodox,68,5.54 ft (1.69 m),66.93 inches (170 cm),Italy,1.69,170.0
