name,wins,looses,draws,ko_rate,stance,age,height,reach,country,height_m,reach_cm
ruslan chagaev,34,3,1,55.3,Southpaw,43,5.91 ft (1.80 m),74.02 inches (188 cm),Uzbekistan,1.8,188.0
antonio cervantes,91,12,3,42.5,Orthodox,76,5.74 ft (1.75 m),72.05 inches (183 cm),Colombia,1.75,183.0
hugo centeno jr,27,3,1,43.8,Orthodox,31,6.14 ft (1.87 m),75.59 inches (192 cm),United States,1.87,192.0
julio ceja,32,4,1,75.7,Orthodox,29,5.45 ft (1.66 m),63.39 inches (161 cm),Mexico,1.66,161.0
jose cayetano,21,7,0,35.7,Orthodox,35,5.41 ft (1.65 m),66.14 inches (168 cm),Mexico,1.65,168.0
Celex Antonio Castro,2,0,0,100.0,Orthodox,22,5.68 ft (1.73 m),69.29 inches (176 cm),Mexico,1.73,176.0
jose luis castillo,66,13,1,71.3,Orthodox,48,5.61 ft (1.71 m),68.90 inches (175 cm),Mexico,1.71,175.0
rodolfo casanova,81,22,3,48.1,Orthodox,107,5.28 ft (1.61 m),66.14 inches (168 cm),Mexico,1.61,168.0
joel casamayor,38,6,1,48.9,Southpaw,51,5.58 ft (1.70 m),68.90 inches (175 cm),Cuba,1.7,175.0
jimmy carter,81,31,9,26.4,Orthodox,98,5.51 ft (1.68 m),68.11 inches (173 cm),United States,1.68,173.0
dominick carter,30,10,0,41.5,Orthodox,56,6.00 ft (1.83 m),72.83 inches (185 cm),United States,1.83,185.0
jack carroll,85,11,4,38.2,Orthodox,115,5.87 ft (1.79 m),72.05 inches (183 cm),Australia,1.79,183.0
adrian carreon,16,0,3,47.4,Orthodox,50,6.07 ft (1.85 m),72.05 inches (183 cm),United States,1.85,183.0
blake caparello,30,3,1,36.1,Southpaw,35,6.14 ft (1.87 m),74.02 inches (188 cm),Australia,1.87,188.0
tony canzoneri,141,24,10,25.1,Orthodox,113,5.35 ft (1.63 m),64.96 inches (165 cm),United States,1.63,165.0
andrew cancio,21,5,2,55.2,Orthodox,33,5.51 ft (1.68 m),68.11 inches (173 cm),United States,1.68,173.0
luke campbell,20,3,0,66.7,Southpaw,34,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,1.75,180.0
pablo cesar cano,33,7,1,53.5,Orthodox,32,5.74 ft (1.75 m),70.08 inches (178 cm),Mexico,1.75,178.0
luis ramon campas,103,17,3,64.2,Orthodox,51,5.91 ft (1.80 m),70.08 inches (178 cm),Mexico,1.8,178.0
joe calzaghe,46,0,0,69.6,Southpaw,50,5.91 ft (1.80 m),72.83 inches (185 cm),United Kingdom,1.8,185.0
hector camacho,79,6,3,43.2,Southpaw,60,5.54 ft (1.69 m),68.90 inches (175 cm),Puerto Rico,1.69,175.0
lucian bute,32,5,0,67.6,Southpaw,42,6.14 ft (1.87 m),72.05 inches (183 cm),Romania,1.87,183.0
charley burley,83,12,2,51.0,Orthodox,104,5.74 ft (1.75 m),75.20 inches (191 cm),United States,1.75,191.0
ricky burns,43,8,1,30.8,Orthodox,39,5.84 ft (1.78 m),70.08 inches (178 cm),United Kingdom,1.78,178.0
cornelius bundrage,35,6,1,45.2,Orthodox,49,5.51 ft (1.68 m),72.05 inches (183 cm),United States,1.68,183.0
ken buchanan,61,8,0,39.1,Orthodox,77,5.61 ft (1.71 m),70.08 inches (178 cm),United Kingdom,1.71,178.0
frank bruno,40,5,0,84.4,Orthodox,60,6.27 ft (1.91 m),81.89 inches (208 cm),United Kingdom,1.91,208.0
joe bugner,69,13,1,49.4,Orthodox,72,6.33 ft (1.93 m),81.89 inches (208 cm),Australia,1.93,208.0
derek bryant,20,7,1,60.7,Southpaw,51,6.27 ft (1.91 m),79.13 inches (201 cm),United States,1.91,201.0
simon brown,47,12,0,57.6,Orthodox,59,5.81 ft (1.77 m),70.87 inches (180 cm),Jamaica,1.77,180.0
panama al brown,132,21,13,36.1,Orthodox,120,5.74 ft (1.75 m),72.44 inches (184 cm),Panama,1.75,184.0
glenwood brown,48,12,0,48.3,Orthodox,55,5.61 ft (1.71 m),72.44 inches (184 cm),United States,1.71,184.0
marcus browne,23,1,0,64.0,Southpaw,31,6.04 ft (1.84 m),75.59 inches (192 cm),United States,1.84,192.0
joe brown,116,47,16,28.9,Orthodox,96,5.61 ft (1.71 m),68.11 inches (173 cm),United States,1.71,173.0
kell brook,39,3,0,64.3,Orthodox,36,5.74 ft (1.75 m),68.90 inches (175 cm),United Kingdom,1.75,175.0
lou brouillard,101,31,3,42.2,Southpaw,111,5.58 ft (1.70 m),72.05 inches (183 cm),Canada,1.7,183.0
adrien broner,33,4,1,61.5,Orthodox,33,5.51 ft (1.68 m),68.90 inches (175 cm),United States,1.68,175.0
shannon briggs,60,6,1,77.9,Orthodox,50,6.33 ft (1.93 m),79.92 inches (203 cm),United States,1.93,203.0
jack britton,239,57,46,8.7,Orthodox,136,5.68 ft (1.73 m),70.08 inches (178 cm),United States,1.73,178.0
dominic breazeale,20,2,0,81.8,Orthodox,36,6.53 ft (1.99 m),81.10 inches (206 cm),United States,1.99,206.0
timothy bradley,33,2,1,35.1,Orthodox,38,5.51 ft (1.68 m),68.90 inches (175 cm),United States,1.68,175.0
juergen braehmer,50,3,0,67.9,Southpaw,43,5.94 ft (1.81 m),71.26 inches (181 cm),Germany,1.81,181.0
livingstone bramble,40,26,3,36.2,Orthodox,61,5.68 ft (1.73 m),74.02 inches (188 cm),Saint Kitts and Nevis,1.73,188.0
riddick bowe,43,1,0,73.3,Orthodox,54,6.43 ft (1.96 m),81.10 inches (206 cm),United States,1.96,206.0
enrique bolanos,79,22,5,41.5,Orthodox,97,5.68 ft (1.73 m),72.83 inches (185 cm),United States,1.73,185.0
victor bisbal,22,4,0,61.5,Orthodox,42,6.33 ft (1.93 m),77.95 inches (198 cm),Puerto Rico,1.93,198.0
lennox blackmoore,25,5,0,46.7,Orthodox,72,5.81 ft (1.77 m),75.20 inches (191 cm),Guyana,1.77,191.0
jimmy bivins,86,25,1,27.7,Orthodox,102,5.74 ft (1.75 m),75.98 inches (193 cm),United States,1.75,193.0
mickey bey,22,3,1,37.0,Orthodox,39,5.74 ft (1.75 m),68.90 inches (175 cm),United States,1.75,175.0
andre berto,33,5,0,61.5,Orthodox,38,5.54 ft (1.69 m),68.50 inches (174 cm),United States,1.69,174.0
artur beterbiev,15,0,0,93.8,Orthodox,37,6.04 ft (1.84 m),72.83 inches (185 cm),Russian Federation,1.84,185.0
melio bettina,83,14,3,36.0,Southpaw,105,5.74 ft (1.75 m),70.08 inches (178 cm),United States,1.75,178.0
trevor berbick,49,11,1,54.1,Orthodox,68,6.17 ft (1.88 m),77.95 inches (198 cm),Canada,1.88,198.0
miguel berchelt,38,1,0,85.0,Orthodox,30,5.58 ft (1.70 m),70.87 inches (180 cm),Mexico,1.7,180.0
nicky bentz,36,7,2,64.4,Orthodox,50,5.58 ft (1.70 m),70.08 inches (178 cm),Mexico,1.7,178.0
jose benavidez,27,1,0,64.3,Orthodox,30,5.91 ft (1.80 m),72.83 inches (185 cm),United States,1.8,185.0
nino benvenuti,82,7,1,38.9,Orthodox,84,5.91 ft (1.80 m),75.20 inches (191 cm),Italy,1.8,191.0
raymundo beltran,36,9,1,46.8,Orthodox,41,5.68 ft (1.73 m),68.11 inches (173 cm),Mexico,1.73,173.0
tony bellew,30,3,1,58.8,Orthodox,39,6.27 ft (1.91 m),74.02 inches (188 cm),United Kingdom,1.91,188.0
owen beck,29,13,0,47.6,Orthodox,46,6.14 ft (1.87 m),77.95 inches (198 cm),Jamaica,1.87,198.0
hogan kid bassey,59,13,2,28.4,Orthodox,90,5.25 ft (1.60 m),66.54 inches (169 cm),Nigeria,1.6,169.0
fidel bassa,22,1,1,62.5,Orthodox,59,5.28 ft (1.61 m),70.08 inches (178 cm),Colombia,1.61,178.0
marco antonio barrera,67,7,0,58.7,Orthodox,48,5.51 ft (1.68 m),70.08 inches (178 cm),Mexico,1.68,178.0
rances barthelemy,28,1,1,45.2,Orthodox,36,5.91 ft (1.80 m),72.83 inches (185 cm),Cuba,1.8,185.0
sullivan barrera,22,3,0,56.0,Orthodox,40,6.17 ft (1.88 m),72.83 inches (185 cm),Cuba,1.88,185.0
iran barkley,43,19,1,42.9,Orthodox,62,6.07 ft (1.85 m),74.02 inches (188 cm),United States,1.85,188.0
carlos manuel baldomir,49,16,6,21.1,Orthodox,51,5.58 ft (1.70 m),68.11 inches (173 cm),Argentina,1.7,173.0
emanuel augustus,38,34,6,25.6,Orthodox,47,5.58 ft (1.70 m),68.11 inches (173 cm),United States,1.7,173.0
firat arslan,48,9,3,55.0,Southpaw,51,5.97 ft (1.82 m),76.77 inches (195 cm),Germany,1.82,195.0
henry armstrong,150,21,10,55.8,Orthodox,112,5.45 ft (1.66 m),66.93 inches (170 cm),United States,1.66,170.0
chris arreola,38,6,1,70.2,Orthodox,41,6.27 ft (1.91 m),75.98 inches (193 cm),United States,1.91,193.0
alexis arguello,77,8,0,72.9,Orthodox,70,5.84 ft (1.78 m),72.05 inches (183 cm),Nicaragua,1.78,183.0
art aragon,90,20,6,53.4,Orthodox,94,5.68 ft (1.73 m),70.08 inches (178 cm),United States,1.73,178.0
alfredo angulo,24,6,0,63.3,Orthodox,40,5.81 ft (1.77 m),68.90 inches (175 cm),Mexico,1.77,175.0
fred apostoli,61,10,1,43.1,Orthodox,109,5.81 ft (1.77 m),70.08 inches (178 cm),United States,1.77,178.0
sammy angott,94,29,8,16.8,Orthodox,107,5.61 ft (1.71 m),70.08 inches (178 cm),United States,1.71,178.0
jerwin ancajas,32,1,2,62.9,Southpaw,30,5.51 ft (1.68 m),66.54 inches (169 cm),Philippines,1.68,169.0
chris algieri,24,3,0,33.3,Orthodox,38,5.84 ft (1.78 m),72.05 inches (183 cm),United States,1.78,183.0
lou ambers,91,8,7,26.4,Orthodox,108,5.38 ft (1.64 m),70.08 inches (178 cm),United States,1.64,178.0
devon alexander,27,7,1,40.0,Southpaw,35,5.71 ft (1.74 m),70.08 inches (178 cm),United States,1.74,178.0
prince badi ajamu,27,3,1,48.4,Orthodox,50,6.00 ft (1.83 m),74.02 inches (188 cm),United States,1.83,188.0
ryo akaho,33,2,2,56.8,Orthodox,36,5.51 ft (1.68 m),66.93 inches (170 cm),Japan,1.68,170.0
joseph agbeko,36,5,0,63.4,Orthodox,42,5.45 ft (1.66 m),65.35 inches (166 cm),Ghana,1.66,166.0
brandon adams,21,3,0,54.2,Orthodox,33,5.74 ft (1.75 m),70.08 inches (178 cm),United States,1.75,178.0
arthur abraham,47,6,0,56.6,Orthodox,42,5.74 ft (1.75 m),72.05 inches (183 cm),Germany,1.75,183.0
victor abraham,24,15,0,20.5,Orthodox,66,5.71 ft (1.74 m),70.08 inches (178 cm),United States,1.74,178.0
