Name,Age,Weight,Height,Reach,Stance,Total_fights,Wins,Losses,Draws,No_contests
Carlos Cuadras,36,"Super flyweight, Bantamweight",5 ft 4 in (163 cm) [ 1 ],66 in (168 cm) [ 1 ],Orthodox,48,42,5,1,
Fabio Wardley,30,Heavyweight,6 ft 5 in (196 cm),78 in (198 cm),Orthodox,20,19,0,1,
Subriel Matías,33,Light welterweight,5 ft 9 in (175 cm) [ 1 ],71 in (180 cm) [ 1 ],Orthodox,24,22,2,,
Masamichi Yabuki,32,"Light flyweight, Flyweight",5 ft 5 + 1 ⁄ 2 in (166 cm),64 + 1 ⁄ 2 in (164 cm),Orthodox,22,18,4,,
Artur Beterbiev,40,Light-heavyweight,5 ft 11 + 1 ⁄ 2 in (182 cm) [ 1 ],73 in (185 cm) [ 1 ],Orthodox,22,21,1,,
Oscar Collazo,,,,,,,,,,
Alan Picasso Romero,24,"Bantamweight, Super-bantamweight, Featherweight",5 ft 8 in (173 cm),70 in (178 cm),Orthodox,32,31,0,1,
Agit Kabayel,32,Heavyweight,6 ft 3 in (191 cm),80 in (203 cm),Orthodox,26,26,,,
Kevin Lerena,33,"Cruiserweight, Bridgerweight, Heavyweight",6 ft 1 in (1.85 m),,Southpaw,34,31,3,,
Derek Chisora,41,Heavyweight,6 ft 2 in (188 cm) [ 1 ],74 in (188 cm) [ 1 ],Orthodox,49,36,13,,
Jermall Charlo,35,"Light middleweight, Middleweight, Super Middleweight",6 ft 0 in (183 cm) [ 1 ],74 in (188 cm) [ 1 ],Orthodox,34,34,,,
Chris Eubank Jr.,35,"Middleweight, Super-middleweight",5 ft 11 in (180 cm) [ 1 ],72.5 in (184 cm) [ 2 ],Orthodox,38,34,3,,
Tyson Fury,36,Heavyweight,6 ft 9 in (206 cm) [ 1 ],85 in (216 cm) [ 1 ],Orthodox [ a ],37,34,2,1,
Sebastian Fundora,27,Light middleweight,6 ft 6 in (198 cm) [ 1 ],80 in (203 cm) [ 1 ],Southpaw,24,22,1,1,
Andy Cruz,29,Lightweight,1.75 m (5 ft 9 in),,Orthodox,6,6,,,
Jarrell Miller,36,,6 ft 4 in (193 cm) [ 1 ] [ 2 ],78 in (198 cm) [ 2 ],,,22,2,2,
Shakur Stevenson,28,"Featherweight, Super featherweight, Lightweight",5 ft 8 in (173 cm) [ 1 ],68 in (173 cm) [ 1 ],Southpaw,23,23,,,
Andy Ruiz Jr.,35,Heavyweight,6 ft 2 in (188 cm) [ 1 ],74 in (188 cm) [ 1 ],Orthodox,38,35,2,1,
Martin Bakole,32,Heavyweight,6 ft 6 in (198 cm) [ 1 ],82 in (208 cm),Orthodox,24,21,2,1,
Jaron Ennis,28,Welterweight,5 ft 10 in (178 cm),74 in (188 cm),Orthodox [ nb 1 ],35,34,,,1
Erislandy Lara,42,"Light middleweight, Middleweight",5 ft 9 in (175 cm) [ 1 ],75 + 1 ⁄ 2 in (192 cm) [ 1 ],Southpaw,37,31,3,3,
